School Code,Teacher,Year,Tree ID,Species Code,50% Bud Burst
AHE,Rosenthal,2011,1,SH,141
AHE,Rosenthal,2011,2,SA,146
AHE,Rosenthal,2011,3,RM,119
AHE,Rosenthal,2011,4,BC,NA
AHE,Rosenthal,2011,5,GB,119
AHE,Rosenthal,2011,6,WB,NA
AHE,Rosenthal,2011,7,WO,132
AHE,Rosenthal,2011,8,RO,151
AHE,Rosenthal,2011,9,BB,122
AHE,Rosenthal,2011,10,SA,131
AHE,Rosenthal,2011,11,WB,NA
AHE,Rosenthal,2011,12,RM,125
AHE,Rosenthal,2012,1,SH,140
AHE,Rosenthal,2012,2,SA,110
AHE,Rosenthal,2012,3,RM,109
AHE,Rosenthal,2012,4,BC,89
AHE,Rosenthal,2012,5,GB,111
AHE,Rosenthal,2012,6,WB,102
AHE,Rosenthal,2012,7,WO,126
AHE,Rosenthal,2012,8,RO,111
AHE,Rosenthal,2012,9,BB,110
AHE,Rosenthal,2012,10,SA,110
AHE,Rosenthal,2012,11,WB,88
AHE,Rosenthal,2012,12,RM,119
AHE,Rosenthal,2013,1,SH,NA
AHE,Rosenthal,2013,2,SA,118
AHE,Rosenthal,2013,3,RM,117
AHE,Rosenthal,2013,4,BC,108
AHE,Rosenthal,2013,6,WB,117
AHE,Rosenthal,2013,7,WO,124
AHE,Rosenthal,2013,8,RO,117
AHE,Rosenthal,2013,10,SA,121
AHE,Rosenthal,2013,11,WB,NA
AHE,Rosenthal,2014,1,SH,143
AHE,Rosenthal,2014,2,SA,123
AHE,Rosenthal,2014,4,BC,110
AHE,Rosenthal,2014,6,WB,126
AHE,Rosenthal,2014,7,WO,131
AHE,Rosenthal,2014,8,RO,122
AHE,Rosenthal,2014,10,SA,134
AHE,Rosenthal,2014,11,WB,110
AHE,Rosenthal,2014,13,RM,120
AHE,Rosenthal,2015,1,SH,140
AHE,Rosenthal,2015,2,SA,133
AHE,Rosenthal,2015,4,BC,112
AHE,Rosenthal,2015,7,WO,129
AHE,Rosenthal,2015,8,RO,121
AHE,Rosenthal,2015,10,SA,NA
AHE,Rosenthal,2015,11,WB,120
AHE,Rosenthal,2015,12,RM,127
AHE,Rosenthal,2015,13,SM,120
AHS,Scott,2008,1,WO,126
AHS,Scott,2008,2,SA,114
