School Code,Teacher,Date,Julian,Tree ID,Species Code,Total Leaves,Fallen Leaves,Tree Color
AHE,Desjarlais,2015-10-05,278,4,BC,12,0,1
AHE,Desjarlais,2015-10-05,278,5,GB,12,1,1
AHE,Desjarlais,2015-10-05,278,7,WO,12,0,1
AHE,Desjarlais,2015-10-05,278,8,RO,12,0,1
AHE,Desjarlais,2015-10-05,278,10,SA,12,0,1
AHE,Desjarlais,2015-10-05,278,11,WB,18,2,1
AHE,Desjarlais,2015-10-15,288,4,BC,12,0,2
AHE,Desjarlais,2015-10-15,288,5,GB,12,4,3
AHE,Desjarlais,2015-10-15,288,7,WO,12,0,2
AHE,Desjarlais,2015-10-15,288,8,RO,12,0,1
AHE,Desjarlais,2015-10-15,288,10,SA,12,3,4
AHE,Desjarlais,2015-10-15,288,11,WB,18,6,2
AHE,Desjarlais,2015-10-27,300,4,BC,12,10,4
AHE,Desjarlais,2015-10-27,300,5,GB,18,15,4
AHE,Desjarlais,2015-10-27,300,7,WO,12,6,4
AHE,Desjarlais,2015-10-27,300,8,RO,12,0,1
AHE,Desjarlais,2015-10-27,300,10,SA,12,11,4
AHE,Desjarlais,2015-10-27,300,11,WB,18,11,4
AHE,Desjarlais,2015-11-03,307,4,BC,12,11,4
AHE,Desjarlais,2015-11-03,307,5,GB,18,18,4
AHE,Desjarlais,2015-11-03,307,7,WO,12,8,4
AHE,Desjarlais,2015-11-03,307,8,RO,12,4,4
AHE,Desjarlais,2015-11-03,307,10,SA,12,12,4
AHE,Desjarlais,2015-11-03,307,11,WB,18,18,4
AHE,Rosenthal,2010-09-14,257,1,SH,18,0,1
AHE,Rosenthal,2010-09-14,257,2,SA,12,1,1
AHE,Rosenthal,2010-09-14,257,3,RM,12,0,1
AHE,Rosenthal,2010-09-14,257,4,BC,12,0,1
AHE,Rosenthal,2010-09-14,257,5,GB,12,0,2
AHE,Rosenthal,2010-09-14,257,6,WB,18,0,1
AHE,Rosenthal,2010-09-14,257,7,WO,12,0,1
AHE,Rosenthal,2010-09-14,257,8,RO,12,0,1
AHE,Rosenthal,2010-09-14,257,9,BB,12,0,1
AHE,Rosenthal,2010-09-14,257,10,SA,18,0,1
AHE,Rosenthal,2010-09-14,257,11,WB,12,0,1
AHE,Rosenthal,2010-09-14,257,12,RM,12,0,1
AHE,Rosenthal,2010-09-21,264,1,SH,18,0,1
AHE,Rosenthal,2010-09-21,264,2,SA,12,1,1
AHE,Rosenthal,2010-09-21,264,3,RM,12,0,1
AHE,Rosenthal,2010-09-21,264,4,BC,12,0,1
AHE,Rosenthal,2010-09-21,264,5,GB,12,1,2
AHE,Rosenthal,2010-09-21,264,6,WB,18,0,1
AHE,Rosenthal,2010-09-21,264,7,WO,12,1,1
AHE,Rosenthal,2010-09-21,264,8,RO,12,0,1
AHE,Rosenthal,2010-09-21,264,9,BB,12,0,1
AHE,Rosenthal,2010-09-21,264,10,SA,18,0,1
AHE,Rosenthal,2010-09-21,264,11,WB,12,0,1
AHE,Rosenthal,2010-09-21,264,12,RM,12,0,1
AHE,Rosenthal,2010-09-29,272,1,SH,18,1,2
AHE,Rosenthal,2010-09-29,272,2,SA,12,1,1
AHE,Rosenthal,2010-09-29,272,3,RM,12,0,1
AHE,Rosenthal,2010-09-29,272,4,BC,12,0,1
AHE,Rosenthal,2010-09-29,272,5,GB,12,2,3
AHE,Rosenthal,2010-09-29,272,6,WB,18,0,1
AHE,Rosenthal,2010-09-29,272,7,WO,12,2,1
AHE,Rosenthal,2010-09-29,272,8,RO,12,0,1
AHE,Rosenthal,2010-09-29,272,9,BB,12,0,1
AHE,Rosenthal,2010-09-29,272,10,SA,18,2,3
AHE,Rosenthal,2010-09-29,272,11,WB,12,2,1
AHE,Rosenthal,2010-09-29,272,12,RM,12,0,1
AHE,Rosenthal,2010-10-05,278,1,SH,18,3,2
AHE,Rosenthal,2010-10-05,278,2,SA,12,3,2
AHE,Rosenthal,2010-10-05,278,3,RM,12,1,1
AHE,Rosenthal,2010-10-05,278,4,BC,12,0,1
AHE,Rosenthal,2010-10-05,278,5,GB,12,3,3
AHE,Rosenthal,2010-10-05,278,6,WB,18,0,1
AHE,Rosenthal,2010-10-05,278,7,WO,12,2,1
AHE,Rosenthal,2010-10-05,278,8,RO,12,0,1
AHE,Rosenthal,2010-10-05,278,9,BB,12,1,2
AHE,Rosenthal,2010-10-05,278,10,SA,18,7,4
AHE,Rosenthal,2010-10-05,278,11,WB,12,4,1
AHE,Rosenthal,2010-10-05,278,12,RM,12,0,1
AHE,Rosenthal,2010-10-13,286,1,SH,18,6,4
AHE,Rosenthal,2010-10-13,286,2,SA,12,10,4
AHE,Rosenthal,2010-10-13,286,3,RM,12,4,2
AHE,Rosenthal,2010-10-13,286,4,BC,12,0,3
AHE,Rosenthal,2010-10-13,286,5,GB,12,5,3
AHE,Rosenthal,2010-10-13,286,6,WB,18,1,3
AHE,Rosenthal,2010-10-13,286,7,WO,12,2,2
AHE,Rosenthal,2010-10-13,286,8,RO,12,0,1
AHE,Rosenthal,2010-10-13,286,9,BB,12,4,3
AHE,Rosenthal,2010-10-13,286,10,SA,18,16,4
AHE,Rosenthal,2010-10-13,286,11,WB,12,4,1
AHE,Rosenthal,2010-10-13,286,12,RM,12,1,1
AHE,Rosenthal,2010-10-19,292,1,SH,18,7,4
AHE,Rosenthal,2010-10-19,292,2,SA,12,12,4
AHE,Rosenthal,2010-10-19,292,3,RM,12,5,4
AHE,Rosenthal,2010-10-19,292,4,BC,12,4,4
AHE,Rosenthal,2010-10-19,292,5,GB,12,6,4
AHE,Rosenthal,2010-10-19,292,6,WB,18,5,4
AHE,Rosenthal,2010-10-19,292,7,WO,12,2,3
AHE,Rosenthal,2010-10-19,292,8,RO,12,0,1
AHE,Rosenthal,2010-10-19,292,9,BB,12,4,4
AHE,Rosenthal,2010-10-19,292,10,SA,18,17,4
AHE,Rosenthal,2010-10-19,292,11,WB,12,4,2
AHE,Rosenthal,2010-10-19,292,12,RM,12,1,1
AHE,Rosenthal,2010-10-25,298,1,SH,18,12,4
AHE,Rosenthal,2010-10-25,298,2,SA,12,12,4
AHE,Rosenthal,2010-10-25,298,3,RM,12,6,4
AHE,Rosenthal,2010-10-25,298,4,BC,12,12,4
AHE,Rosenthal,2010-10-25,298,5,GB,12,6,4
AHE,Rosenthal,2010-10-25,298,6,WB,18,13,4
AHE,Rosenthal,2010-10-25,298,7,WO,12,4,4
AHE,Rosenthal,2010-10-25,298,8,RO,12,0,2
AHE,Rosenthal,2010-10-25,298,9,BB,12,5,4
AHE,Rosenthal,2010-10-25,298,10,SA,18,18,4
AHE,Rosenthal,2010-10-25,298,11,WB,12,4,2
AHE,Rosenthal,2010-10-25,298,12,RM,12,2,4
AHE,Rosenthal,2010-11-02,306,1,SH,18,13,4
AHE,Rosenthal,2010-11-02,306,2,SA,12,12,4
AHE,Rosenthal,2010-11-02,306,3,RM,12,10,4
AHE,Rosenthal,2010-11-02,306,4,BC,12,12,4
AHE,Rosenthal,2010-11-02,306,5,GB,12,12,4
AHE,Rosenthal,2010-11-02,306,6,WB,18,18,4
AHE,Rosenthal,2010-11-02,306,7,WO,12,8,4
AHE,Rosenthal,2010-11-02,306,8,RO,12,11,4
AHE,Rosenthal,2010-11-02,306,9,BB,12,12,4
AHE,Rosenthal,2010-11-02,306,10,SA,18,18,4
AHE,Rosenthal,2010-11-02,306,11,WB,12,12,4
AHE,Rosenthal,2010-11-02,306,12,RM,12,12,4
AHE,Rosenthal,2010-11-09,313,1,SH,18,18,4
AHE,Rosenthal,2010-11-09,313,2,SA,12,12,4
AHE,Rosenthal,2010-11-09,313,3,RM,12,10,4
AHE,Rosenthal,2010-11-09,313,4,BC,12,12,4
AHE,Rosenthal,2010-11-09,313,5,GB,12,12,4
AHE,Rosenthal,2010-11-09,313,6,WB,18,18,4
AHE,Rosenthal,2010-11-09,313,7,WO,12,9,4
AHE,Rosenthal,2010-11-09,313,8,RO,12,12,4
AHE,Rosenthal,2010-11-09,313,9,BB,12,12,4
AHE,Rosenthal,2010-11-09,313,10,SA,18,18,4
AHE,Rosenthal,2010-11-09,313,11,WB,12,12,4
AHE,Rosenthal,2010-11-09,313,12,RM,12,12,4
AHE,Rosenthal,2011-09-21,264,1,SH,18,0,1
AHE,Rosenthal,2011-09-21,264,2,SA,12,0,1
AHE,Rosenthal,2011-09-21,264,3,RM,12,1,1
AHE,Rosenthal,2011-09-21,264,4,BC,12,1,1
AHE,Rosenthal,2011-09-21,264,5,GB,12,1,2
AHE,Rosenthal,2011-09-21,264,6,WB,18,0,1
AHE,Rosenthal,2011-09-21,264,7,WO,12,0,1
AHE,Rosenthal,2011-09-21,264,8,RO,12,0,1
