School Code,Teacher,Date,Julian,Tree ID,Species Code,Total Buds,Open Buds,Leaf Length (cm)
AHE,Rosenthal,2011-04-27,117,1,SH,18,0,NA
AHE,Rosenthal,2011-04-27,117,2,SA,12,0,NA
AHE,Rosenthal,2011-04-27,117,3,RM,12,0,0
AHE,Rosenthal,2011-04-27,117,4,BC,12,12,3
AHE,Rosenthal,2011-04-27,117,5,GB,12,0,0
AHE,Rosenthal,2011-04-27,117,6,WB,24,24,2
AHE,Rosenthal,2011-04-27,117,7,WO,10,0,0
AHE,Rosenthal,2011-04-27,117,8,RO,12,0,0
AHE,Rosenthal,2011-04-27,117,9,BB,12,0,0
AHE,Rosenthal,2011-04-27,117,10,SA,18,0,0
AHE,Rosenthal,2011-04-27,117,11,WB,12,11,3
AHE,Rosenthal,2011-04-27,117,12,RM,12,0,0
AHE,Rosenthal,2011-04-29,119,1,SH,17,0,NA
AHE,Rosenthal,2011-04-29,119,2,SA,12,0,NA
AHE,Rosenthal,2011-04-29,119,3,RM,12,7,3.5
AHE,Rosenthal,2011-04-29,119,4,BC,12,12,3.5
AHE,Rosenthal,2011-04-29,119,5,GB,12,7,1
AHE,Rosenthal,2011-04-29,119,6,WB,18,18,3.5
AHE,Rosenthal,2011-04-29,119,7,WO,10,0,0
AHE,Rosenthal,2011-04-29,119,8,RO,12,2,3
AHE,Rosenthal,2011-04-29,119,9,BB,12,1,1.4
AHE,Rosenthal,2011-04-29,119,10,SA,18,0,0
AHE,Rosenthal,2011-04-29,119,11,WB,11,11,4
AHE,Rosenthal,2011-04-29,119,12,RM,11,0,0
AHE,Rosenthal,2011-05-02,122,1,SH,14,0,NA
AHE,Rosenthal,2011-05-02,122,2,SA,12,0,NA
AHE,Rosenthal,2011-05-02,122,3,RM,12,10,3.2
AHE,Rosenthal,2011-05-02,122,4,BC,12,12,4
AHE,Rosenthal,2011-05-02,122,5,GB,12,7,2
AHE,Rosenthal,2011-05-02,122,6,WB,18,18,3.5
AHE,Rosenthal,2011-05-02,122,7,WO,10,0,0
AHE,Rosenthal,2011-05-02,122,8,RO,12,3,4
AHE,Rosenthal,2011-05-02,122,9,BB,12,6,2.5
AHE,Rosenthal,2011-05-02,122,10,SA,18,0,0
AHE,Rosenthal,2011-05-02,122,11,WB,11,11,5.5
AHE,Rosenthal,2011-05-02,122,12,RM,11,1,0.6
AHE,Rosenthal,2011-05-05,125,1,SH,14,0,NA
AHE,Rosenthal,2011-05-05,125,2,SA,12,0,NA
AHE,Rosenthal,2011-05-05,125,3,RM,12,10,4
AHE,Rosenthal,2011-05-05,125,4,BC,12,12,5.5
AHE,Rosenthal,2011-05-05,125,5,GB,12,7,3
AHE,Rosenthal,2011-05-05,125,6,WB,18,18,4.8
AHE,Rosenthal,2011-05-05,125,7,WO,10,3,1.5
AHE,Rosenthal,2011-05-05,125,8,RO,11,4,5.5
AHE,Rosenthal,2011-05-05,125,9,BB,12,10,4
AHE,Rosenthal,2011-05-05,125,10,SA,12,0,0
AHE,Rosenthal,2011-05-05,125,11,WB,11,11,7.5
AHE,Rosenthal,2011-05-05,125,12,RM,11,6,1.7
AHE,Rosenthal,2011-05-10,130,1,SH,14,2,1.2
AHE,Rosenthal,2011-05-10,130,2,SA,12,2,2.5
AHE,Rosenthal,2011-05-10,130,3,RM,12,10,8
AHE,Rosenthal,2011-05-10,130,4,BC,12,12,8
AHE,Rosenthal,2011-05-10,130,5,GB,12,7,7
AHE,Rosenthal,2011-05-10,130,6,WB,18,18,6
AHE,Rosenthal,2011-05-10,130,7,WO,9,4,3.2
AHE,Rosenthal,2011-05-10,130,8,RO,11,4,10
AHE,Rosenthal,2011-05-10,130,9,BB,12,11,8
AHE,Rosenthal,2011-05-10,130,10,SA,10,4,2.5
AHE,Rosenthal,2011-05-10,130,11,WB,11,11,8
AHE,Rosenthal,2011-05-10,130,12,RM,11,6,3.5
AHE,Rosenthal,2011-05-13,133,1,SH,13,2,12
AHE,Rosenthal,2011-05-13,133,2,SA,8,2,4.5
AHE,Rosenthal,2011-05-13,133,3,RM,12,12,9.5
AHE,Rosenthal,2011-05-13,133,4,BC,12,12,9
AHE,Rosenthal,2011-05-13,133,5,GB,11,7,12
AHE,Rosenthal,2011-05-13,133,6,WB,18,18,7
AHE,Rosenthal,2011-05-13,133,7,WO,9,5,6
AHE,Rosenthal,2011-05-13,133,8,RO,10,4,13
AHE,Rosenthal,2011-05-13,133,9,BB,12,11,9
AHE,Rosenthal,2011-05-13,133,10,SA,10,7,3.5
AHE,Rosenthal,2011-05-13,133,11,WB,11,11,10
AHE,Rosenthal,2011-05-13,133,12,RM,11,6,5.6
AHE,Rosenthal,2011-05-24,144,1,SH,13,8,28
AHE,Rosenthal,2011-05-24,144,2,SA,8,2,8
AHE,Rosenthal,2011-05-24,144,3,RM,12,12,11.5
AHE,Rosenthal,2011-05-24,144,4,BC,12,12,11
AHE,Rosenthal,2011-05-24,144,5,GB,10,8,12
AHE,Rosenthal,2011-05-24,144,6,WB,18,18,8
AHE,Rosenthal,2011-05-24,144,7,WO,6,5,17
AHE,Rosenthal,2011-05-24,144,8,RO,9,4,21
AHE,Rosenthal,2011-05-24,144,9,BB,12,11,13.5
AHE,Rosenthal,2011-05-24,144,10,SA,9,7,9
AHE,Rosenthal,2011-05-24,144,11,WB,11,11,10
AHE,Rosenthal,2011-05-24,144,12,RM,10,8,10.7
AHE,Rosenthal,2011-05-31,151,1,SH,13,12,37
AHE,Rosenthal,2011-05-31,151,2,SA,6,6,12
AHE,Rosenthal,2011-05-31,151,3,RM,12,12,11.5
AHE,Rosenthal,2011-05-31,151,4,BC,12,12,13.5
AHE,Rosenthal,2011-05-31,151,5,GB,9,8,12
AHE,Rosenthal,2011-05-31,151,6,WB,18,18,8
AHE,Rosenthal,2011-05-31,151,7,WO,4,4,23
AHE,Rosenthal,2011-05-31,151,8,RO,8,4,21
AHE,Rosenthal,2011-05-31,151,9,BB,12,12,13.5
AHE,Rosenthal,2011-05-31,151,10,SA,7,5,13
AHE,Rosenthal,2011-05-31,151,11,WB,11,11,10
AHE,Rosenthal,2011-05-31,151,12,RM,9,8,10.7
AHE,Rosenthal,2012-03-22,82,1,SH,18,0,0
AHE,Rosenthal,2012-03-22,82,2,SA,12,0,0
AHE,Rosenthal,2012-03-22,82,3,RM,12,0,0
AHE,Rosenthal,2012-03-22,82,4,BC,12,1,1
AHE,Rosenthal,2012-03-22,82,5,GB,12,0,0
AHE,Rosenthal,2012-03-22,82,6,WB,18,0,0
AHE,Rosenthal,2012-03-22,82,7,WO,12,0,0
AHE,Rosenthal,2012-03-22,82,8,RO,12,0,0
AHE,Rosenthal,2012-03-22,82,9,BB,6,0,0
AHE,Rosenthal,2012-03-22,82,10,SA,18,0,0
AHE,Rosenthal,2012-03-22,82,11,WB,12,2,1
AHE,Rosenthal,2012-03-22,82,12,RM,12,0,0
AHE,Rosenthal,2012-03-30,90,1,SH,15,0,0
AHE,Rosenthal,2012-03-30,90,2,SA,12,0,0
AHE,Rosenthal,2012-03-30,90,3,RM,12,0,0
AHE,Rosenthal,2012-03-30,90,4,BC,12,7,2
AHE,Rosenthal,2012-03-30,90,5,GB,12,0,0
AHE,Rosenthal,2012-03-30,90,6,WB,18,0,0
AHE,Rosenthal,2012-03-30,90,7,WO,12,0,0
AHE,Rosenthal,2012-03-30,90,8,RO,12,0,0
AHE,Rosenthal,2012-03-30,90,9,BB,6,0,0
AHE,Rosenthal,2012-03-30,90,10,SA,16,0,0
AHE,Rosenthal,2012-03-30,90,11,WB,12,7,3
AHE,Rosenthal,2012-03-30,90,12,RM,12,0,0
AHE,Rosenthal,2012-04-05,96,1,SH,15,0,0
AHE,Rosenthal,2012-04-05,96,2,SA,12,0,0
AHE,Rosenthal,2012-04-05,96,3,RM,12,0,0
AHE,Rosenthal,2012-04-05,96,4,BC,10,8,3
AHE,Rosenthal,2012-04-05,96,5,GB,12,0,0
AHE,Rosenthal,2012-04-05,96,6,WB,17,0,0
AHE,Rosenthal,2012-04-05,96,7,WO,12,0,0
AHE,Rosenthal,2012-04-05,96,8,RO,12,0,0
AHE,Rosenthal,2012-04-05,96,9,BB,6,0,0
AHE,Rosenthal,2012-04-05,96,10,SA,15,0,0
AHE,Rosenthal,2012-04-05,96,11,WB,12,10,4
AHE,Rosenthal,2012-04-05,96,12,RM,12,0,0
AHE,Rosenthal,2012-04-13,104,1,SH,15,0,0
AHE,Rosenthal,2012-04-13,104,2,SA,12,0,0
AHE,Rosenthal,2012-04-13,104,3,RM,12,0,0
AHE,Rosenthal,2012-04-13,104,4,BC,10,9,4
AHE,Rosenthal,2012-04-13,104,5,GB,12,0,0
AHE,Rosenthal,2012-04-13,104,6,WB,16,11,2
AHE,Rosenthal,2012-04-13,104,7,WO,12,0,0
AHE,Rosenthal,2012-04-13,104,8,RO,12,0,0
AHE,Rosenthal,2012-04-13,104,9,BB,6,0,0
AHE,Rosenthal,2012-04-13,104,10,SA,15,0,0
AHE,Rosenthal,2012-04-13,104,11,WB,12,12,7
AHE,Rosenthal,2012-04-13,104,12,RM,12,0,0
AHE,Rosenthal,2012-04-23,114,1,SH,14,0,0
AHE,Rosenthal,2012-04-23,114,2,SA,12,10,5
AHE,Rosenthal,2012-04-23,114,3,RM,12,12,6
AHE,Rosenthal,2012-04-23,114,4,BC,10,10,9
AHE,Rosenthal,2012-04-23,114,5,GB,12,8,4
AHE,Rosenthal,2012-04-23,114,6,WB,16,13,4
AHE,Rosenthal,2012-04-23,114,7,WO,12,0,0
AHE,Rosenthal,2012-04-23,114,8,RO,12,9,7
AHE,Rosenthal,2012-04-23,114,9,BB,6,5,4
AHE,Rosenthal,2012-04-23,114,10,SA,15,12,2
AHE,Rosenthal,2012-04-23,114,11,WB,12,12,9
AHE,Rosenthal,2012-04-23,114,12,RM,12,3,3
AHE,Rosenthal,2012-05-02,123,1,SH,14,0,0
AHE,Rosenthal,2012-05-02,123,2,SA,12,10,7
AHE,Rosenthal,2012-05-02,123,3,RM,12,12,9
AHE,Rosenthal,2012-05-02,123,4,BC,10,10,11
AHE,Rosenthal,2012-05-02,123,5,GB,12,11,5
AHE,Rosenthal,2012-05-02,123,6,WB,16,16,7
AHE,Rosenthal,2012-05-02,123,7,WO,12,3,1
AHE,Rosenthal,2012-05-02,123,8,RO,12,10,9
AHE,Rosenthal,2012-05-02,123,9,BB,6,6,6
AHE,Rosenthal,2012-05-02,123,10,SA,15,12,4
AHE,Rosenthal,2012-05-02,123,11,WB,12,12,10
AHE,Rosenthal,2012-05-02,123,12,RM,12,9,7
AHE,Rosenthal,2012-05-07,128,1,SH,14,0,0
AHE,Rosenthal,2012-05-07,128,2,SA,12,11,8
AHE,Rosenthal,2012-05-07,128,3,RM,12,12,11
AHE,Rosenthal,2012-05-07,128,4,BC,10,10,11
AHE,Rosenthal,2012-05-07,128,5,GB,12,11,6
AHE,Rosenthal,2012-05-07,128,6,WB,16,16,8
AHE,Rosenthal,2012-05-07,128,7,WO,12,9,4
AHE,Rosenthal,2012-05-07,128,8,RO,12,10,14
AHE,Rosenthal,2012-05-07,128,9,BB,6,6,8
AHE,Rosenthal,2012-05-07,128,10,SA,15,12,5
AHE,Rosenthal,2012-05-07,128,11,WB,12,12,10
AHE,Rosenthal,2012-05-07,128,12,RM,12,12,8
AHE,Rosenthal,2012-05-15,136,1,SH,14,3,10
AHE,Rosenthal,2012-05-15,136,2,SA,12,11,11
AHE,Rosenthal,2012-05-15,136,3,RM,12,12,12
AHE,Rosenthal,2012-05-15,136,4,BC,10,10,12
AHE,Rosenthal,2012-05-15,136,5,GB,12,11,8
AHE,Rosenthal,2012-05-15,136,6,WB,16,16,8
AHE,Rosenthal,2012-05-15,136,7,WO,12,9,10
AHE,Rosenthal,2012-05-15,136,8,RO,12,10,20
AHE,Rosenthal,2012-05-15,136,9,BB,6,6,10
AHE,Rosenthal,2012-05-15,136,10,SA,15,12,9
AHE,Rosenthal,2012-05-15,136,11,WB,12,12,10
AHE,Rosenthal,2012-05-15,136,12,RM,12,12,9
AHE,Rosenthal,2012-05-21,142,1,SH,14,9,23
AHE,Rosenthal,2012-05-21,142,2,SA,12,12,16
AHE,Rosenthal,2012-05-21,142,3,RM,12,12,13
AHE,Rosenthal,2012-05-21,142,4,BC,10,10,12
AHE,Rosenthal,2012-05-21,142,5,GB,12,12,10
AHE,Rosenthal,2012-05-21,142,6,WB,16,16,8
