School Code,Teacher,Date,Julian,Location,Depth (cm),Flow Rate,Air Temp (c),Water Temp (c)
CFE,Duane,2005-10-21,294,1,11,1,21.1,12.8
CFE,Duane,2005-10-21,294,2,11,1,22.2,14.4
CFE,Duane,2005-10-21,294,3,12,2,22.2,14.4
FRE,Szczesny,2004-09-27,271,1,25.5,2,25,15
FRE,Szczesny,2004-09-27,271,2,34,1,21,16
FRE,Szczesny,2004-09-27,271,3,10,1,28,16
FRE,Szczesny,2004-09-27,271,4,77,2,25,29
FRE,Szczesny,2004-10-04,278,1,35,1,15,13
FRE,Szczesny,2004-10-04,278,2,30,2,21,14
FRE,Szczesny,2004-10-04,278,3,7,1,18,13
FRE,Szczesny,2004-10-04,278,4,8,1,20,18
FRE,Szczesny,2005-02-09,40,1,NA,1,3,-1
FRE,Szczesny,2005-02-09,40,2,NA,1,4,3
FRE,Szczesny,2005-02-09,40,3,NA,1,4,3
FRE,Szczesny,2005-02-09,40,4,NA,1,9,2
FRE,Szczesny,2005-03-31,90,1,22,1,17,9
FRE,Szczesny,2005-03-31,90,2,50,1,20,13
FRE,Szczesny,2005-03-31,90,3,NA,1,20,5
FRE,Szczesny,2005-03-31,90,4,NA,1,NA,9
FRE,Szczesny,2005-05-15,135,1,30,1,11,11
FRE,Szczesny,2005-05-15,135,2,58,2,11,13
FRE,Szczesny,2005-05-15,135,3,65,1,11,9
FRE,Szczesny,2005-05-15,135,4,55,1,11,10
GAM,Austin,2005-11-04,308,1,13,2,12,1
GAM,Austin,2005-11-04,308,2,10,2,12,3
GAM,Austin,2005-11-04,308,3,10,3,12,2
GAM,Austin,2005-11-04,308,4,9,3,12,3
GAM,Austin,2006-01-12,12,1,7,6,3,1
GAM,Austin,2006-01-12,12,2,6,6,3,1
GAM,Austin,2006-01-12,12,3,4,6,3,1
GAM,Austin,2006-01-12,12,4,4,6,3,1
GAM,Austin,2006-01-19,19,1,7,2,-4,1
GAM,Austin,2006-01-19,19,2,7,2,-4,2
GAM,Austin,2006-01-19,19,3,4,3,-4,-1
GAM,Austin,2006-01-19,19,4,4,2,-3,2
GAM,Austin,2006-02-16,47,1,10,1,15,1
GAM,Austin,2006-02-16,47,2,11,2,15,1
GAM,Austin,2006-02-16,47,3,10,2,15,1
GAM,Austin,2006-02-16,47,4,9,1,16,0
GAM,Austin,2006-04-27,117,1,7,1,7,2
GAM,Austin,2006-04-27,117,2,5,1,7,1
GAM,Austin,2006-04-27,117,3,6,1,7,2
GAM,Austin,2006-04-27,117,4,7,1,7,3
GAM,Austin,2006-05-24,144,1,7,2,21,10
GAM,Austin,2006-05-24,144,2,4,3,22,8
GAM,Austin,2006-05-24,144,3,5,2,21,9
GAM,Austin,2006-05-24,144,4,5,2,21,8
GAM,Yolles,2006-01-19,19,1,32,1,6,4.5
GAM,Yolles,2006-01-19,19,2,23,1,6,4.5
GAM,Yolles,2006-01-19,19,3,40,1,6,4.5
GAM,Yolles,2006-01-19,19,4,30,1,6,4.5
GAM,Yolles,2006-01-25,25,1,20,1,-2,15
GAM,Yolles,2006-01-25,25,2,17,1,-2,15
GAM,Yolles,2006-01-25,25,3,27,1,-2,15
GAM,Yolles,2006-01-25,25,4,11,1,-2,15
GAM,Yolles,2006-01-26,26,1,16,1,3,10
GAM,Yolles,2006-01-26,26,2,16,1,3,10
GAM,Yolles,2006-01-26,26,3,26,1,2,10
GAM,Yolles,2006-01-26,26,4,20,1,3,10
GAM,Yolles,2006-02-02,33,1,17,1,2,2
GAM,Yolles,2006-02-02,33,2,20,1,2,2
GAM,Yolles,2006-02-02,33,3,25,1,2,2
GAM,Yolles,2006-02-02,33,4,15,1,2,2
GAM,Yolles,2006-02-08,39,1,17,1,-3,13
GAM,Yolles,2006-02-08,39,2,12,1,-4,13
GAM,Yolles,2006-02-08,39,3,25,1,-2,14
GAM,Yolles,2006-02-08,39,4,16,1,-2,12
GAM,Yolles,2006-03-09,68,1,11,1,5,0
GAM,Yolles,2006-03-09,68,2,15,1,5,0
GAM,Yolles,2006-03-09,68,3,21,1,5,1
GAM,Yolles,2006-03-09,68,4,12,1,5,1
GAM,Yolles,2006-03-16,75,1,14,1,2,6
GAM,Yolles,2006-03-16,75,2,10,1,2,1
GAM,Yolles,2006-03-16,75,3,23,1,2,1
GAM,Yolles,2006-03-16,75,4,13,1,2,0
GAM,Yolles,2006-03-23,82,1,12,1,7,3
GAM,Yolles,2006-03-23,82,2,15,1,7,2
GAM,Yolles,2006-03-23,82,3,21,1,7,1.5
GAM,Yolles,2006-03-23,82,4,15,1,7,4
GAM,Yolles,2006-03-29,88,1,11,1,19,6
GAM,Yolles,2006-03-29,88,2,15,1,19,5
GAM,Yolles,2006-03-29,88,3,22,1,19,8
GAM,Yolles,2006-03-29,88,4,12,1,15,6
GAM,Yolles,2006-05-23,143,1,NA,NA,NA,NA
GAM,Yolles,2006-05-23,143,2,18,1,12,8
GAM,Yolles,2006-05-23,143,3,23,1,12,8
GAM,Yolles,2006-05-23,143,4,NA,NA,NA,NA
HCC,Zulawski,2005-11-16,320,1,17,1,18.5,9
HCC,Zulawski,2005-11-16,320,2,16,1,18.5,9
HCC,Zulawski,2005-11-16,320,3,12,1,18.5,9
HCC,Zulawski,2005-11-16,320,4,15.5,1,18.5,9
HCC,Zulawski,2005-11-21,325,1,14,1,10.5,4
HCC,Zulawski,2005-11-21,325,2,11,1,11.5,4
HCC,Zulawski,2005-11-21,325,3,20,1,12,4
HCC,Zulawski,2005-11-21,325,4,14,1,11,4
HCC,Zulawski,2006-01-12,12,1,25,1,6,2
HCC,Zulawski,2006-01-12,12,2,20,1,6,2
HCC,Zulawski,2006-01-12,12,3,30,1,6,2
HCC,Zulawski,2006-01-12,12,4,25,1,6,2
HCC,Zulawski,2006-01-19,19,1,28,1,2,1
HCC,Zulawski,2006-01-19,19,2,30,1,2,1
HCC,Zulawski,2006-01-19,19,3,40,1,2,1.5
HCC,Zulawski,2006-01-19,19,4,30,1,2,1
PES,Corey,2005-10-03,276,1,0,5,21.7,NA
PES,Corey,2005-10-03,276,2,0,5,21.7,NA
PES,Corey,2005-10-03,276,3,0,5,21.7,NA
PES,Corey,2005-10-05,278,1,15,1,17,9.4
PES,Corey,2005-10-06,279,2,8,1,17,9.4
PES,Corey,2005-10-07,280,3,14,1,17,9.4
PES,Corey,2005-10-08,281,1,9.8,1,17,7.2
PES,Corey,2005-10-09,282,2,14,1,17,7.2
PES,Corey,2005-10-10,283,3,17,1,17,7.2
PES,Corey,2005-10-11,284,1,8,1,15,4
PES,Corey,2005-10-12,285,2,10,2,15,4
PES,Corey,2005-10-13,286,3,5,2,15,4
PES,Corey,2005-10-14,287,1,12,1,16,9.5
PES,Corey,2005-10-15,288,2,9,1,16,9.5
PES,Corey,2005-10-16,289,3,5,2,16,9.5
PES,Corey,2005-11-01,305,1,15,1,17.2,9.4
PES,Corey,2005-11-01,305,2,8,1,17.2,9.4
PES,Corey,2005-11-01,305,3,14,1,17.2,10
PES,Corey,2005-11-29,333,1,9.8,1,17.2,7.2
PES,Corey,2005-11-29,333,2,14,1,17.2,7.2
PES,Corey,2005-11-29,333,3,17,1,17.2,7.2
PES,Corey,2006-10-26,299,1,4,1,13.9,10
PES,Corey,2006-10-26,299,2,2,1,13.9,10
PES,Corey,2006-10-26,299,3,7,1,13.9,10
PES,Corey,2006-10-26,299,4,4,1,13.9,10
PES,Corey,2006-11-13,317,1,8.5,1,11.1,10
PES,Corey,2006-11-13,317,2,5,1,11.1,10
PES,Corey,2006-11-13,317,3,10,1,11.1,10
PES,Corey,2006-11-13,317,4,5,1,11.1,10
PES,Corey,2007-05-03,123,1,7,1,20,11
PES,Corey,2007-05-03,123,2,8,1,20,11
PES,Corey,2007-05-03,123,3,15,1,20,11
PES,Corey,2007-05-03,123,4,10,1,20,11
PES,Corey,2007-06-11,162,1,1,1,23,15
PES,Corey,2007-06-11,162,2,2,1,23,14
PES,Corey,2007-06-11,162,3,3,1,23,14
PES,Corey,2007-06-11,162,4,5,1,23,14
PES,Corey,2007-10-09,282,1,0,5,22,NA
PES,Corey,2007-10-09,282,2,0,5,22,NA
PES,Corey,2007-10-09,282,3,0,5,22,NA
PES,Corey,2007-10-09,282,4,0,5,22,NA
PES,Corey,2007-11-13,317,1,8,1,14,8
PES,Corey,2007-11-13,317,2,4,1,15,7
PES,Corey,2007-11-13,317,3,5,1,10,9
PES,Corey,2007-11-13,317,4,7,1,14,9
PES,Corey,2008-04-15,106,1,4,1,17,9
PES,Corey,2008-04-15,106,2,5,1,17,8
PES,Corey,2008-04-15,106,3,6.5,1,17,8
PES,Corey,2008-04-15,106,4,5,1,17,8
PES,Corey,2008-05-29,150,1,3.5,1,20,12
PES,Corey,2008-05-29,150,2,0,1,21,NA
PES,Corey,2008-05-29,150,3,1.5,1,21,15
PES,Corey,2008-05-29,150,4,4,1,21,12
PES,Corey,2008-10-17,291,1,11,1,13,11
PES,Corey,2008-10-17,291,2,0,1,13,NA
PES,Corey,2008-10-17,291,3,7,1,13,10
PES,Corey,2008-10-17,291,4,5,1,13,10
PES,Corey,2008-11-04,309,1,16,1,13,10
PES,Corey,2008-11-04,309,2,0,1,13,NA
PES,Corey,2008-11-04,309,3,5,1,13,8
PES,Corey,2008-11-04,309,4,4,1,13,10
PES,Corey,2009-04-30,120,1,12,1,15,12
PES,Corey,2009-04-30,120,2,0,1,15,NA
PES,Corey,2009-04-30,120,3,8,1,15,13
PES,Corey,2009-04-30,120,4,3,1,15,10
PES,Corey,2009-05-26,146,1,11,1,20,10
PES,Corey,2009-05-26,146,2,0,1,20,NA
PES,Corey,2009-05-26,146,3,6,1,20,12
PES,Corey,2009-05-26,146,4,3,1,20,15
