School Code,Teacher,Date,Pool,Julian,Max Diameter (m),Diameter (m),Depth (cm),Air Temp (c),Water Temp (c)
ATH,McDonald,2009-08-26,1,238,33.5,30.4,NA,NA,NA
ATH,McDonald,2009-09-30,1,273,33.5,25.3,103,8.9,11.7
ATH,McDonald,2009-10-29,1,302,33.5,26.8,125,16.9,9.7
ATH,McDonald,2009-11-25,1,329,33.5,29.6,157.5,8.9,6.7
ATH,McDonald,2010-03-19,1,78,33.5,33.5,200,8.5,4
ATH,McDonald,2010-05-11,1,131,33.5,30,173,10,12
ATH,McDonald,2010-05-25,1,145,33.5,28.8,162,28.3,23.3
BEE,Rossow,2013-09-17,1,260,19.6,8.2,60,18,15
BEE,Rossow,2013-11-15,1,319,19.6,0,0,15.5,NA
BEE,Rossow,2013-12-05,1,339,19.6,7.8,55,4,0
BEE,Rossow,2014-04-09,1,99,19.6,19.6,145,14,8
BEE,Rossow,2014-05-12,1,132,19.6,18.2,137,30,18
BEE,Rossow,2014-06-12,1,163,19.6,13,120,22,17
BEE,Rossow,2014-09-11,1,254,19.6,8.2,45,23,17
BEE,Rossow,2014-10-10,1,283,19.6,7.3,40,17,10
BEE,Rossow,2014-10-28,1,301,19.6,10.8,100,25,10
BEE,Rossow,2014-11-25,1,329,19.6,14.2,NA,18,5
BEE,Rossow,2015-04-13,1,103,19.6,17.2,NA,21,7.5
BEE,Rossow,2015-04-30,1,120,19.6,19,NA,15,12.5
BEE,Rossow,2015-05-29,1,149,19.6,9.7,NA,20,17
BES,Wile,2008-09-26,1,270,28.5,16,13,18.5,20
BES,Wile,2008-10-24,1,298,28.5,15.5,14,16,7
BES,Wile,2008-11-20,1,325,28.5,17.8,17,5,0
BES,Wile,2009-01-23,1,23,28.5,26.1,58,2,2
BES,Wile,2009-02-26,1,57,28.5,26.8,64.8,6.5,0
BES,Wile,2009-03-27,1,86,28.5,28.1,85,9,3
BES,Wile,2009-05-01,1,121,28.5,28.5,77,21,16
BES,Wile,2009-10-02,1,275,28.5,19.2,35,12,10
