School Code,School Name,Teachers,Street Address,Town,State,Latitude (deg),Longitude (deg),Elevation (m),Buds,Hwa,Vernal,Stream,Forest
WME,West Marion Elementary School,Crawley,820 Marler Road,West Marion,NC,35.6216,-82.0603,465,N,I,N,N,N
STH,Springfield Township High School,Zgraggen,1801 Paper Mill Road,Glenside,PA,40.14,-75.19,102,I,N,N,N,N
STE,Stearns Elementary School,Capeless,75 Lebanon Avenue,Pittsfield,MA,42.4381,-73.2996,320,A,N,N,N,N
THS,Taconic High School,Michaud; Wespiser,96 Valentine Road,Pittsfield,MA,42.4595,-73.2732,344,I,N,N,N,N
CCE,Silvio Conte Community School,Capeless,200 West Union Street,Pittsfield,MA,42.4553,-73.2657,318,A,N,N,N,N
MAH,Mt. Anthony Union High School,Rosenthal,301 Park Street,Bennington,VT,42.8792,-73.1919,210,I,N,N,N,N
WRH,Wahconah Regional High School,LeSage,150 Old Windsor Road,Dalton,MA,42.473,-73.1395,352,A,N,N,N,N
BBH,Burr and Burton Academy,Mowry,57 Seminary Avenue,Manchester,VT,43.1638,-73.0774,294,I,N,N,N,N
GAM,Gabriel Abbott Memorial School,Austin; Yolles,56 North County Road,Florida,MA,42.693,-73.0322,604,A,N,N,I,N
MHM,Montessori School of Greater Hartford,Ligon,741 Steel Rd.,New Hartford,CT,41.8326,-72.9789,164,N,N,N,N,A
HAE,Hawlemont Regional Elementary School,Bruffee; Orzechowski,School Street,Charlemont,MA,42.627,-72.874,167,N,A,N,N,A
ANV,AMC Noble View Outdoor Center,LeTellier,NA,Russell,MA,42.1357,-72.8594,346,N,A,N,N,N
SAE,Sanderson Academy,Fisher,808 Cape Street,Ashfield,MA,42.508,-72.8112,488,N,N,I,N,N
HRH,Hampshire Regional High School,NA,19 Stage Road,Westhampton,MA,42.3028,-72.7718,180,I,N,N,N,N
MHH,Mohawk High School,Kermenski,26 Ashfield Rd.,Shelburne Falls,MA,42.6151,-72.7544,870,N,N,N,N,A
SME,Saint Marys Parish School,Reed,27 Bartlett Street,Westfield,MA,42.1247,-72.7462,42,A,N,N,N,N
HEE,Helen E. James Elementary School,Gurdak-Foley,16 Main Street,Williamsburg,MA,42.3915,-72.729,160,N,A,N,N,N
HCC,Hilltown Cooperative Charter School,Zulawski,132 Main Street,Haydenville,MA,42.3763,-72.7055,132,N,N,N,I,N
WNM,Williston Northampton School,Kay; Lucia; Spearing,19 Payson Avenue,Easthampton,MA,42.2648,-72.675,52,A,N,N,N,N
TSE,Townshend Elementary School,Dolan,66 Common Road,Townshend,VT,43.0467,-72.6696,179,I,N,N,N,N
WSM,West Springfield Middle School,Greene; Griffin,31 Middle School Drive,West Springfield,MA,42.1254,-72.6471,66,I,N,I,N,N
PFH,Paulo Friere Social Justice Charter School,Jewett, 161 Lower Westfield Road,Holyoke,MA,42.193,-72.637,88,A,N,N,N,N
PRE,Pearl Rhodes Elementary School,Hall,7 Brattleboro Road,Leyden,MA,42.6974,-72.625,238,I,N,N,N,N
FRM,Four Rivers Charter School,Farwell; Gilbert,248 Colrain Road,Greenfield,MA,42.5962,-72.6207,55,A,N,N,N,N
